ID linije,Lista stanica
1A,"[5841, 149, 5270, 1770, 6291, 2406, 6027, 493, 5581, 2225, 4762, 1228, 3541, 1184, 2324, 2044, 1814, 6159, 7658, 2969, 2806, 924, 316, 2408, 191, 7248, 4690, 65, 7087, 185, 2975, 1567, 6800, 850, 663, 2087, 7342, 5366, 764, 733, 3767, 5238, 4827, 2752, 5434, 2667, 2910, 1496, 2443, 2343, 6902, 5767, 7258, 7194, 5010, 6429, 5913, 3300, 4036, 2810, 4241, 5625, 5935, 2335, 3952, 4538, 3498, 7610, 3421, 4681, 745, 3702, 983, 1467, 7477, 447, 2112, 3000, 55, 3116, 7421, 1569, 4394, 6032, 3905, 3849, 2435]"
1B,"[5841, 149, 5270, 1770, 6291, 2406, 6027, 493, 5581, 2225, 4762, 1228, 3541, 1184, 2324, 2044, 1814, 6159, 7658, 2969, 2806, 924, 316, 2408, 191, 7248, 4690, 65, 7087, 185, 2975, 1567, 6800, 850, 663, 2087, 7342, 5366, 764, 733, 3767, 5238, 4827, 2752, 5434, 2667, 2910, 1496, 2443, 2343, 6902, 5767, 7258, 7194, 5010, 6429, 5913, 3300, 4036, 2810, 4241, 5625, 5935, 2335, 3952, 4538, 3498, 7610, 3421, 4681, 745, 3702, 983, 1467, 7477, 447, 2112, 3000, 55, 3116, 7421, 1569, 4394, 6032, 3905, 3849, 2435]"
1ZA,"[5841, 149, 5270, 1770, 6291, 2406, 6027, 493, 5581, 2225, 4762, 1228, 3541, 1184, 2324, 2044, 1814, 6159, 7658, 2969, 2806, 924, 316, 2408, 191, 7248, 4690, 65, 7087, 185, 2975, 1567, 6800, 850, 663, 2087, 7342, 5366, 764, 733, 3767, 5238, 4827, 2752, 5434, 2667, 2910, 1496, 2443, 2343, 6902, 5767, 7258, 7194, 5010, 6429, 5913, 3300, 4036, 2810, 4241, 5625, 5935, 2335, 3952, 4538, 3498, 7610, 3421, 4681, 745, 3702, 983, 1467, 7477, 447, 2112, 3000, 55, 3116, 7421, 1569, 4394, 6032, 3905, 3849, 2435]"
1ZB,"[5841, 149, 5270, 1770, 6291, 2406, 6027, 493, 5581, 2225, 4762, 1228, 3541, 1184, 2324, 2044, 1814, 6159, 7658, 2969, 2806, 924, 316, 2408, 191, 7248, 4690, 65, 7087, 185, 2975, 1567, 6800, 850, 663, 2087, 7342, 5366, 764, 733, 3767, 5238, 4827, 2752, 5434, 2667, 2910, 1496, 2443, 2343, 6902, 5767, 7258, 7194, 5010, 6429, 5913, 3300, 4036, 2810, 4241, 5625, 5935, 2335, 3952, 4538, 3498, 7610, 3421, 4681, 745, 3702, 983, 1467, 7477, 447, 2112, 3000, 55, 3116, 7421, 1569, 4394, 6032, 3905, 3849, 2435]"
2A,"[2524, 209, 937, 5898, 7068, 842, 897, 2099, 7454, 1411, 6120, 2375, 5464, 1115, 2658, 6253, 5569, 1064, 7588, 6976, 6313, 2812, 6255, 4548, 4074, 3469, 743, 2460, 6790, 7410, 5812, 2696, 547, 5530, 4951, 4055, 2679, 5494, 6344, 6997, 5303, 141, 7045, 3809, 4602, 3487, 5261, 4182, 7551, 2317, 5696, 1537, 3268, 5300, 7238, 4093, 7478, 303, 1120, 5166, 5338, 7106, 2312, 2556, 3618, 2991, 5098, 147, 4924, 250, 5676, 3794, 3143, 2008, 6122, 6407, 1017]"
2B,"[2524, 209, 937, 5898, 7068, 842, 897, 2099, 7454, 1411, 6120, 2375, 5464, 1115, 2658, 6253, 5569, 1064, 7588, 6976, 6313, 2812, 6255, 4548, 4074, 3469, 743, 2460, 6790, 7410, 5812, 2696, 547, 5530, 4951, 4055, 2679, 5494, 6344, 6997, 5303, 141, 7045, 3809, 4602, 3487, 5261, 4182, 7551, 2317, 5696, 1537, 3268, 5300, 7238, 4093, 7478, 303, 1120, 5166, 5338, 7106, 2312, 2556, 3618, 2991, 5098, 147, 4924, 250, 5676, 3794, 3143, 2008, 6122, 6407, 1017]"
3A,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
3B,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
3AA,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
3AB,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
3BA,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
3BB,"[5012, 2507, 2590, 2851, 1242, 429, 539, 6917, 1509, 5805, 434, 6342, 1606, 206, 4959, 7253, 5378, 6996, 1316, 1517, 4201, 6068, 581, 127, 1609, 1374, 4258, 1327, 3232, 5472, 425, 2397, 5033, 6609, 5697, 6187, 294, 5508, 4099, 2898, 913, 4507, 1207, 2456, 20, 6, 1999, 3207]"
4A,"[5520, 2410, 7530, 3102, 549, 6348, 5939, 2175, 1985, 6659, 7426, 1391, 4943, 5360, 4892, 7512, 4017, 1572, 6213, 1692, 2476, 2699, 6999, 5018, 5141, 3563, 4710, 4506, 4064, 148, 1109, 6851, 245, 2076, 3777, 7507, 4027, 4174, 7006, 7463, 7251, 7622, 4198, 6087, 2287, 94, 1090, 2430, 4780, 3573, 4646]"
4B,"[5520, 2410, 7530, 3102, 549, 6348, 5939, 2175, 1985, 6659, 7426, 1391, 4943, 5360, 4892, 7512, 4017, 1572, 6213, 1692, 2476, 2699, 6999, 5018, 5141, 3563, 4710, 4506, 4064, 148, 1109, 6851, 245, 2076, 3777, 7507, 4027, 4174, 7006, 7463, 7251, 7622, 4198, 6087, 2287, 94, 1090, 2430, 4780, 3573, 4646]"
5A,"[6380, 6576, 2051, 5954, 4868, 1681, 5746, 3517, 4377, 1815, 6043, 6245, 46, 2045, 6845, 1337, 669, 4418, 553, 3098, 6446, 6570, 7465, 6210, 2188, 2608, 5092, 1157, 1416, 4751, 1777, 3497, 6113, 3025, 5075, 220, 4438, 5371, 2332, 2931, 1276, 1827, 4250, 3068, 4513, 1601, 5894, 4908, 6569, 699, 7042, 4839, 6369, 455, 3943, 4202, 899, 7455, 2527, 1997, 5159, 115, 2659, 2400, 5965, 3248, 4809, 1658, 769, 7357, 5336, 5196, 4558, 1473, 6803, 5431, 1093, 4487, 349, 4152, 4314, 6523, 6194, 3328, 2038, 5154, 1926, 2496, 199, 188, 3017, 6049, 6722, 3362, 494, 4774, 5101, 6368, 7461, 439, 4299, 6829, 2276, 445, 6416, 4485, 193, 4503, 1516, 7363, 1565, 7496, 129, 3600, 3439, 3716, 353, 4672, 6689, 2453, 504, 5457, 3661, 3006, 1731, 804, 6304, 4285, 5724, 3214, 5533, 486, 248, 7387, 2671, 2647, 5832, 7389, 3733, 6448, 703, 2957, 4150, 2439, 4362, 4119, 5118, 4790, 183, 1612, 4346, 4035, 4767, 3597, 1757, 5745, 1776, 5211, 5487, 4658, 7671, 367, 6332, 4157, 313, 5873, 7605, 1078, 6819, 6900, 7117, 7407, 3005, 7315, 2992, 843, 2934, 3546, 2282, 4098, 1363, 1308, 545, 2595, 5174, 832, 6095, 5790, 5621, 410, 4020, 5028, 7076, 2541, 7077, 2526, 4948, 6857, 674, 3475, 2779, 7318, 6877, 480, 671, 4404, 776, 4395, 2370, 2184, 4594, 5752, 4275, 2879, 4458, 7235, 1069, 5448, 6106, 2706, 2932, 7110, 3407, 1369, 32, 5445, 1650, 4829, 2320, 6395, 1494, 6858, 5473, 2420, 2861, 54, 3561, 6486, 3939, 3174, 5314, 1215, 2521, 2662, 812, 495, 161, 1479, 2582, 210, 334, 4090, 4991, 2290, 350, 2061, 300, 3342, 5110, 1166, 6451, 2858, 788, 6957, 216, 4147, 3557, 311, 5245, 7189, 2654, 3383, 3023, 235, 6788, 6004, 7012, 7386, 3551, 4366, 203, 4443, 829, 2417, 7650, 359, 184, 3293, 6427, 4603, 7069, 5843, 5153, 6124, 5224, 2123, 3591, 4223, 3205, 4399, 3608, 6674, 4925, 5458, 4877]"
5B,"[6380, 6576, 2051, 5954, 4868, 1681, 5746, 3517, 4377, 1815, 6043, 6245, 46, 2045, 6845, 1337, 669, 4418, 553, 3098, 6446, 6570, 7465, 6210, 2188, 2608, 5092, 1157, 1416, 4751, 1777, 3497, 6113, 3025, 5075, 220, 4438, 5371, 2332, 2931, 1276, 1827, 4250, 3068, 4513, 1601, 5894, 4908, 6569, 699, 7042, 4839, 6369, 455, 3943, 4202, 899, 7455, 2527, 1997, 5159, 115, 2659, 2400, 5965, 3248, 4809, 1658, 769, 7357, 5336, 5196, 4558, 1473, 6803, 5431, 1093, 4487, 349, 4152, 4314, 6523, 6194, 3328, 2038, 5154, 1926, 2496, 199, 188, 3017, 6049, 6722, 3362, 494, 4774, 5101, 6368, 7461, 439, 4299, 6829, 2276, 445, 6416, 4485, 193, 4503, 1516, 7363, 1565, 7496, 129, 3600, 3439, 3716, 353, 4672, 6689, 2453, 504, 5457, 3661, 3006, 1731, 804, 6304, 4285, 5724, 3214, 5533, 486, 248, 7387, 2671, 2647, 5832, 7389, 3733, 6448, 703, 2957, 4150, 2439, 4362, 4119, 5118, 4790, 183, 1612, 4346, 4035, 4767, 3597, 1757, 5745, 1776, 5211, 5487, 4658, 7671, 367, 6332, 4157, 313, 5873, 7605, 1078, 6819, 6900, 7117, 7407, 3005, 7315, 2992, 843, 2934, 3546, 2282, 4098, 1363, 1308, 545, 2595, 5174, 832, 6095, 5790, 5621, 410, 4020, 5028, 7076, 2541, 7077, 2526, 4948, 6857, 674, 3475, 2779, 7318, 6877, 480, 671, 4404, 776, 4395, 2370, 2184, 4594, 5752, 4275, 2879, 4458, 7235, 1069, 5448, 6106, 2706, 2932, 7110, 3407, 1369, 32, 5445, 1650, 4829, 2320, 6395, 1494, 6858, 5473, 2420, 2861, 54, 3561, 6486, 3939, 3174, 5314, 1215, 2521, 2662, 812, 495, 161, 1479, 2582, 210, 334, 4090, 4991, 2290, 350, 2061, 300, 3342, 5110, 1166, 6451, 2858, 788, 6957, 216, 4147, 3557, 311, 5245, 7189, 2654, 3383, 3023, 235, 6788, 6004, 7012, 7386, 3551, 4366, 203, 4443, 829, 2417, 7650, 359, 184, 3293, 6427, 4603, 7069, 5843, 5153, 6124, 5224, 2123, 3591, 4223, 3205, 4399, 3608, 6674, 4925, 5458, 4877]"
5NA,"[6380, 6576, 2051, 5954, 4868, 1681, 5746, 3517, 4377, 1815, 6043, 6245, 46, 2045, 6845, 1337, 669, 4418, 553, 3098, 6446, 6570, 7465, 6210, 2188, 2608, 5092, 1157, 1416, 4751, 1777, 3497, 6113, 3025, 5075, 220, 4438, 5371, 2332, 2931, 1276, 1827, 4250, 3068, 4513, 1601, 5894, 4908, 6569, 699, 7042, 4839, 6369, 455, 3943, 4202, 899, 7455, 2527, 1997, 5159, 115, 2659, 2400, 5965, 3248, 4809, 1658, 769, 7357, 5336, 5196, 4558, 1473, 6803, 5431, 1093, 4487, 349, 4152, 4314, 6523, 6194, 3328, 2038, 5154, 1926, 2496, 199, 188, 3017, 6049, 6722, 3362, 494, 4774, 5101, 6368, 7461, 439, 4299, 6829, 2276, 445, 6416, 4485, 193, 4503, 1516, 7363, 1565, 7496, 129, 3600, 3439, 3716, 353, 4672, 6689, 2453, 504, 5457, 3661, 3006, 1731, 804, 6304, 4285, 5724, 3214, 5533, 486, 248, 7387, 2671, 2647, 5832, 7389, 3733, 6448, 703, 2957, 4150, 2439, 4362, 4119, 5118, 4790, 183, 1612, 4346, 4035, 4767, 3597, 1757, 5745, 1776, 5211, 5487, 4658, 7671, 367, 6332, 4157, 313, 5873, 7605, 1078, 6819, 6900, 7117, 7407, 3005, 7315, 2992, 843, 2934, 3546, 2282, 4098, 1363, 1308, 545, 2595, 5174, 832, 6095, 5790, 5621, 410, 4020, 5028, 7076, 2541, 7077, 2526, 4948, 6857, 674, 3475, 2779, 7318, 6877, 480, 671, 4404, 776, 4395, 2370, 2184, 4594, 5752, 4275, 2879, 4458, 7235, 1069, 5448, 6106, 2706, 2932, 7110, 3407, 1369, 32, 5445, 1650, 4829, 2320, 6395, 1494, 6858, 5473, 2420, 2861, 54, 3561, 6486, 3939, 3174, 5314, 1215, 2521, 2662, 812, 495, 161, 1479, 2582, 210, 334, 4090, 4991, 2290, 350, 2061, 300, 3342, 5110, 1166, 6451, 2858, 788, 6957, 216, 4147, 3557, 311, 5245, 7189, 2654, 3383, 3023, 235, 6788, 6004, 7012, 7386, 3551, 4366, 203, 4443, 829, 2417, 7650, 359, 184, 3293, 6427, 4603, 7069, 5843, 5153, 6124, 5224, 2123, 3591, 4223, 3205, 4399, 3608, 6674, 4925, 5458, 4877]"
5NB,"[6380, 6576, 2051, 5954, 4868, 1681, 5746, 3517, 4377, 1815, 6043, 6245, 46, 2045, 6845, 1337, 669, 4418, 553, 3098, 6446, 6570, 7465, 6210, 2188, 2608, 5092, 1157, 1416, 4751, 1777, 3497, 6113, 3025, 5075, 220, 4438, 5371, 2332, 2931, 1276, 1827, 4250, 3068, 4513, 1601, 5894, 4908, 6569, 699, 7042, 4839, 6369, 455, 3943, 4202, 899, 7455, 2527, 1997, 5159, 115, 2659, 2400, 5965, 3248, 4809, 1658, 769, 7357, 5336, 5196, 4558, 1473, 6803, 5431, 1093, 4487, 349, 4152, 4314, 6523, 6194, 3328, 2038, 5154, 1926, 2496, 199, 188, 3017, 6049, 6722, 3362, 494, 4774, 5101, 6368, 7461, 439, 4299, 6829, 2276, 445, 6416, 4485, 193, 4503, 1516, 7363, 1565, 7496, 129, 3600, 3439, 3716, 353, 4672, 6689, 2453, 504, 5457, 3661, 3006, 1731, 804, 6304, 4285, 5724, 3214, 5533, 486, 248, 7387, 2671, 2647, 5832, 7389, 3733, 6448, 703, 2957, 4150, 2439, 4362, 4119, 5118, 4790, 183, 1612, 4346, 4035, 4767, 3597, 1757, 5745, 1776, 5211, 5487, 4658, 7671, 367, 6332, 4157, 313, 5873, 7605, 1078, 6819, 6900, 7117, 7407, 3005, 7315, 2992, 843, 2934, 3546, 2282, 4098, 1363, 1308, 545, 2595, 5174, 832, 6095, 5790, 5621, 410, 4020, 5028, 7076, 2541, 7077, 2526, 4948, 6857, 674, 3475, 2779, 7318, 6877, 480, 671, 4404, 776, 4395, 2370, 2184, 4594, 5752, 4275, 2879, 4458, 7235, 1069, 5448, 6106, 2706, 2932, 7110, 3407, 1369, 32, 5445, 1650, 4829, 2320, 6395, 1494, 6858, 5473, 2420, 2861, 54, 3561, 6486, 3939, 3174, 5314, 1215, 2521, 2662, 812, 495, 161, 1479, 2582, 210, 334, 4090, 4991, 2290, 350, 2061, 300, 3342, 5110, 1166, 6451, 2858, 788, 6957, 216, 4147, 3557, 311, 5245, 7189, 2654, 3383, 3023, 235, 6788, 6004, 7012, 7386, 3551, 4366, 203, 4443, 829, 2417, 7650, 359, 184, 3293, 6427, 4603, 7069, 5843, 5153, 6124, 5224, 2123, 3591, 4223, 3205, 4399, 3608, 6674, 4925, 5458, 4877]"
