ID linije,Lista stanica
1A,"[(45.3025717506, 19.8247023774), (45.2997652739, 19.8226695053), (45.295793932, 19.8223251106), (45.2916390663, 19.8237880279), (45.2888681125, 19.8247619009), (45.28628095, 19.8256640401), (45.2828585422, 19.8268347377), (45.2713036839, 19.8308548777), (45.2687779267, 19.8317437287), (45.2656954001, 19.8354809218), (45.2623699914, 19.8401023551), (45.2609612857, 19.8420940143), (45.255203707, 19.8416504854), (45.253337, 19.844187), (45.2524025428, 19.8471827488), (45.2474414598, 19.8488525074), (45.2420582997, 19.8475310279), (45.2386999087, 19.84777609)]"
1B,"[(45.239001, 19.848256), (45.2429842112, 19.847528317), (45.2481301777, 19.8492059684), (45.2528535063, 19.8475593745), (45.253519, 19.844141), (45.255185246, 19.8419960985), (45.2608711975, 19.8423966225), (45.2632551971, 19.8390209306), (45.2665045391, 19.834665763), (45.2699357528, 19.8315959987), (45.2737069812, 19.830315176), (45.2848260115, 19.8263159471), (45.2872651434, 19.825474462), (45.2898775272, 19.8245477965), (45.2922920477, 19.8237043193), (45.2953893559, 19.8226166593), (45.2993746126, 19.8226514651), (45.309038, 19.82085), (45.3025717506, 19.8247023774)]"
1ZA,"[(45.30128, 19.807564), (45.301786862, 19.8140267639), (45.3030527389, 19.819219952), (45.3025717506, 19.8247023774), (45.2997652739, 19.8226695053), (45.295793932, 19.8223251106), (45.2916390663, 19.8237880279), (45.2888681125, 19.8247619009), (45.28628095, 19.8256640401), (45.2828585422, 19.8268347377), (45.2713036839, 19.8308548777), (45.2687779267, 19.8317437287), (45.2656954001, 19.8354809218), (45.2623699914, 19.8401023551), (45.2609612857, 19.8420940143), (45.255203707, 19.8416504854), (45.253337, 19.844187), (45.2524025428, 19.8471827488), (45.2474414598, 19.8488525074), (45.2420582997, 19.8475310279), (45.2386999087, 19.84777609)]"
1ZB,"[(45.239001, 19.848256), (45.2429842112, 19.847528317), (45.2481301777, 19.8492059684), (45.2528535063, 19.8475593745), (45.253519, 19.844141), (45.255185246, 19.8419960985), (45.2608711975, 19.8423966225), (45.2632551971, 19.8390209306), (45.2665045391, 19.834665763), (45.2699357528, 19.8315959987), (45.2737069812, 19.830315176), (45.2848260115, 19.8263159471), (45.2872651434, 19.825474462), (45.2898775272, 19.8245477965), (45.2922920477, 19.8237043193), (45.2953893559, 19.8226166593), (45.2993746126, 19.8226514651), (45.303126713, 19.8240177931), (45.3026601998, 19.8183800667), (45.3018931203, 19.8143882272), (45.30128, 19.807564)]"
2A,"[(45.255083741, 19.8416138869), (45.2515776887, 19.836036584), (45.2496536022, 19.8321411697), (45.2492337673, 19.8289089911), (45.2494278377, 19.8238348508), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2482734052, 19.8075067499), (45.2515983077, 19.8053597388), (45.2529483166, 19.8031021067), (45.250093, 19.797603), (45.248178, 19.799015), (45.2461119679, 19.7998632846), (45.245098379, 19.7946648286), (45.2472193464, 19.7933548666), (45.248251, 19.786933)]"
2B,"[(45.247888, 19.787416), (45.2489224745, 19.791754249), (45.2445958159, 19.79550631), (45.24662, 19.800352), (45.2511237051, 19.7983862612), (45.2523770585, 19.8018919417), (45.2510355315, 19.8056491406), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2498730986, 19.8331936901), (45.2522080286, 19.8377609655), (45.2548499029, 19.8422463011)]"
3A,"[(45.2360062995, 19.8878906109), (45.2396101516, 19.8853872807), (45.2439233024, 19.8814113961), (45.2464017138, 19.87968712), (45.2496755784, 19.8757045697), (45.251431704, 19.8732154355), (45.2526031657, 19.8689433116), (45.2548163902, 19.8623634945), (45.2542020579, 19.8519122087), (45.253519, 19.844141), (45.255185246, 19.8419960985), (45.2588786887, 19.8375257882), (45.2605767651, 19.8314132035), (45.2595168963, 19.8263471168), (45.260450059, 19.8213763649), (45.2633439588, 19.8182127414), (45.2634661042, 19.8156966528), (45.2640112807, 19.8111852139), (45.265188, 19.808222)]"
3B,"[(45.2649285714, 19.8083164398), (45.2618134201, 19.8104375633), (45.2620111469, 19.8135399393), (45.2636389127, 19.8174016008), (45.2609008436, 19.8204896166), (45.2591224024, 19.8244448578), (45.259428265, 19.8274393446), (45.2607697725, 19.8329179672), (45.2588985768, 19.8371378326), (45.255203707, 19.8416504854), (45.253337, 19.844187), (45.2542765403, 19.8530960428), (45.2547734365, 19.8620128358), (45.2525866389, 19.8678103709), (45.2516407374, 19.8727083512), (45.2488033781, 19.876524398), (45.2455157784, 19.8801002749), (45.241791669, 19.8830977084), (45.2389365212, 19.8857439999), (45.2360062995, 19.8878906109)]"
3AA,"[(45.264478508, 19.8295879176), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2522080286, 19.8377609655), (45.253337, 19.844187), (45.2542765403, 19.8530960428), (45.2547734365, 19.8620128358), (45.2525866389, 19.8678103709), (45.2516407374, 19.8727083512), (45.253667, 19.881576)]"
3AB,"[(45.253667, 19.881576), (45.2496755784, 19.8757045697), (45.251431704, 19.8732154355), (45.2526031657, 19.8689433116), (45.2548163902, 19.8623634945), (45.2542020579, 19.8519122087), (45.253519, 19.844141), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.2650202834, 19.830132455)]"
3BA,"[(45.2516407374, 19.8727083512), (45.241791669, 19.8830977084), (45.2389365212, 19.8857439999), (45.2312570434, 19.8936378798), (45.22373, 19.894552)]"
3BB,"[(45.22373, 19.894552), (45.221418, 19.896569), (45.2225249456, 19.9009328712), (45.2332483189, 19.8914101033), (45.2396101516, 19.8853872807), (45.251431704, 19.8732154355)]"
4A,"[(45.2650202834, 19.830132455), (45.2613766166, 19.8318492939), (45.255629856, 19.8351029309), (45.2525198464, 19.8368000824), (45.253519, 19.844141), (45.2528535063, 19.8475593745), (45.2481301777, 19.8492059684), (45.2429842112, 19.847528317), (45.2417640206, 19.843435786), (45.2403689153, 19.8384767147), (45.2388659784, 19.833210388), (45.2373436138, 19.8276347235), (45.2371046813, 19.8262756442)]"
4B,"[(45.264478508, 19.8295879176), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2522080286, 19.8377609655), (45.253337, 19.844187), (45.2524025428, 19.8471827488), (45.2474414598, 19.8488525074), (45.2424582038, 19.8467941518), (45.2414328005, 19.8415475397), (45.2400602044, 19.8370412179), (45.23861537, 19.8316359129), (45.2374119519, 19.8273963747), (45.2371046813, 19.8262756442)]"
5A,"[(45.3023192227, 19.8302754549), (45.2993083361, 19.8304360891), (45.2957648457, 19.8304491318), (45.2906889242, 19.8305011638), (45.2880777199, 19.8317289762), (45.2828756397, 19.8346922664), (45.2802317297, 19.8363835969), (45.2725760616, 19.8411205686), (45.2696690854, 19.8421271396), (45.2673052212, 19.8430703993), (45.2621466908, 19.8435652321), (45.2554480126, 19.8414877223), (45.2525198464, 19.8368000824), (45.2551283388, 19.8339511487), (45.2547426103, 19.8300945566), (45.2545639152, 19.8244393678), (45.260450059, 19.8213763649), (45.2633439588, 19.8182127414), (45.2660444179, 19.8148147237), (45.2681204351, 19.8121474846), (45.2704064001, 19.80785211), (45.2664847055, 19.8051343851)]"
5B,"[(45.3023192227, 19.8302754549), (45.3002863203, 19.8305569794), (45.2964910099, 19.830743315), (45.2941004442, 19.8307538038), (45.2910920332, 19.8307752397), (45.2887458333, 19.8316979215), (45.2835133286, 19.8345314956), (45.2809013055, 19.8361991299), (45.2733137159, 19.8410463411), (45.2710086836, 19.8419173482), (45.2669400366, 19.8433774932), (45.264154136, 19.8438347072), (45.2610079188, 19.8431916148), (45.2554755764, 19.8418302098), (45.2522080286, 19.8377609655), (45.2545506888, 19.8353175469), (45.2547956381, 19.8309370182), (45.2541117451, 19.8248078801), (45.2569093044, 19.8241177466), (45.2609008436, 19.8204896166), (45.2636389127, 19.8174016008), (45.2670846403, 19.8130603695), (45.2702133075, 19.8089150153), (45.2664847055, 19.8051343851)]"
5NA,"[(45.264478508, 19.8295879176), (45.2601777537, 19.8322222835), (45.2522080286, 19.8377609655), (45.2554755764, 19.8418302098), (45.2610079188, 19.8431916148), (45.264154136, 19.8438347072), (45.2669400366, 19.8433774932), (45.2710086836, 19.8419173482), (45.2733137159, 19.8410463411), (45.2809013055, 19.8361991299), (45.2835133286, 19.8345314956), (45.2887458333, 19.8316979215), (45.2910920332, 19.8307752397), (45.2941004442, 19.8307538038), (45.2964910099, 19.830743315), (45.3002863203, 19.8305569794), (45.3023192227, 19.8302754549)]"
5NB,"[(45.3023192227, 19.8302754549), (45.2993083361, 19.8304360891), (45.2957648457, 19.8304491318), (45.2933241684, 19.8304941804), (45.2906889242, 19.8305011638), (45.2880777199, 19.8317289762), (45.2828756397, 19.8346922664), (45.2802317297, 19.8363835969), (45.2725760616, 19.8411205686), (45.2696690854, 19.8421271396), (45.2673052212, 19.8430703993), (45.2621466908, 19.8435652321), (45.2554480126, 19.8414877223), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.2650202834, 19.830132455)]"
6A,"[(45.2635605256, 19.8502923003), (45.2614748508, 19.8507066908), (45.2615406229, 19.856432882), (45.2608772309, 19.8557970812), (45.2575567077, 19.8546271049), (45.2542020579, 19.8519122087), (45.253519, 19.844141), (45.2515776887, 19.836036584), (45.2496536022, 19.8321411697), (45.2492337673, 19.8289089911), (45.2494278377, 19.8238348508), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2446632301, 19.809183123), (45.2418383087, 19.8108398895), (45.2403907599, 19.811146825), (45.2383877496, 19.808189521), (45.2391202342, 19.8008255822), (45.2356763766, 19.7971920511), (45.2336724229, 19.7917712223), (45.2330428141, 19.7869691233), (45.2330981747, 19.7845240714), (45.2344242907, 19.7847028632)]"
6B,"[(45.2344242907, 19.7847028632), (45.2332075399, 19.787184434), (45.2336631693, 19.7921001728), (45.2359280235, 19.7976007162), (45.2390614549, 19.8008702781), (45.2383549843, 19.8079954948), (45.23855347, 19.8108903063), (45.2416663419, 19.8110232713), (45.2443433814, 19.8094435931), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2491656314, 19.8252968807), (45.2490835157, 19.8300215701), (45.2498730986, 19.8331936901), (45.2522080286, 19.8377609655), (45.253337, 19.844187), (45.2542765403, 19.8530960428), (45.2576645565, 19.8548476045), (45.2615406229, 19.856432882), (45.265037, 19.859896), (45.2617554805, 19.8537375388), (45.261569, 19.850373), (45.26401, 19.850372)]"
6AA,"[(45.2344242907, 19.7847028632), (45.2332075399, 19.787184434), (45.2332893269, 19.7794237447), (45.2386233532, 19.7750049886), (45.2425409433, 19.76871362), (45.2426337, 19.7680254)]"
6AB,"[(45.2425428937, 19.7685548371), (45.2380520756, 19.7753639279), (45.2328708892, 19.7797236528), (45.2330981747, 19.7845240714), (45.2344242907, 19.7847028632)]"
7A,"[(45.248251, 19.786933), (45.2495765937, 19.7936823203), (45.2472193464, 19.7933548666), (45.245098379, 19.7946648286), (45.2420787039, 19.7984549409), (45.2417062369, 19.8023266636), (45.240393, 19.815733), (45.23977, 19.821792), (45.2374119519, 19.8273963747), (45.23861537, 19.8316359129), (45.2400602044, 19.8370412179), (45.2414328005, 19.8415475397), (45.2434304122, 19.8414842753), (45.2475207776, 19.8392619075), (45.2514514442, 19.8370753816), (45.263325649, 19.8304838937), (45.2637816804, 19.8246328903), (45.2636389127, 19.8174016008), (45.2620111469, 19.8135399393), (45.2604662935, 19.8096845247), (45.2579092564, 19.8022341912), (45.2556482515, 19.8026436487), (45.2523770585, 19.8018919417), (45.2511237051, 19.7983862612), (45.2489713023, 19.7915144259), (45.247888, 19.787416)]"
7B,"[(45.2489713023, 19.7915144259), (45.2487632498, 19.7921260989), (45.2470681807, 19.793176626), (45.2440339225, 19.795029964), (45.2417500565, 19.7996161438), (45.2413580417, 19.8036125161), (45.2409610249, 19.8076663846), (45.240038, 19.816809), (45.2394232209, 19.8253580867), (45.2373436138, 19.8276347235), (45.2388659784, 19.833210388), (45.2403689153, 19.8384767147), (45.2421433047, 19.8425582061), (45.2444754031, 19.8412524923), (45.2485327883, 19.8390130044), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.2640665923, 19.8291811843), (45.2640771252, 19.8231059398), (45.2633439588, 19.8182127414), (45.2634661042, 19.8156966528), (45.2616253594, 19.8122424682), (45.260028, 19.807755), (45.2569890699, 19.8015188427), (45.2529483166, 19.8031021067), (45.2513539058, 19.7983752275), (45.2500788277, 19.7947978105), (45.247888, 19.787416), (45.248251, 19.786933)]"
8A,"[(45.2386999087, 19.84777609), (45.2420582997, 19.8475310279), (45.2474414598, 19.8488525074), (45.2524025428, 19.8471827488), (45.253337, 19.844187), (45.255203707, 19.8416504854), (45.2609612857, 19.8420940143), (45.2623699914, 19.8401023551), (45.2618165848, 19.836097904), (45.2607697725, 19.8329179672), (45.259428265, 19.8274393446), (45.2591224024, 19.8244448578), (45.2578100769, 19.8180260671), (45.256618567, 19.8145474244), (45.2542051645, 19.8072929653), (45.2511237051, 19.7983862612), (45.2536751535, 19.7953286658), (45.2537969106, 19.7903530914), (45.2503985655, 19.7913833451), (45.2489224745, 19.791754249), (45.247888, 19.787416)]"
8B,"[(45.239001, 19.848256), (45.2429842112, 19.847528317), (45.2481301777, 19.8492059684), (45.2528535063, 19.8475593745), (45.253519, 19.844141), (45.255185246, 19.8419960985), (45.2608711975, 19.8423966225), (45.2626605142, 19.8390400612), (45.2616127597, 19.8351798744), (45.2605767651, 19.8314132035), (45.2595168963, 19.8263471168), (45.2590354052, 19.821789798), (45.2576529346, 19.81692892), (45.2565030038, 19.8135561249), (45.2540476132, 19.8064282878), (45.2529483166, 19.8031021067), (45.2513539058, 19.7983752275), (45.2543785923, 19.7950461743), (45.2518458292, 19.7902083832), (45.2489713023, 19.7915144259), (45.248251, 19.786933)]"
9A,"[(45.2360062995, 19.8878906109), (45.2389365212, 19.8857439999), (45.241791669, 19.8830977084), (45.2455157784, 19.8801002749), (45.2488033781, 19.876524398), (45.2516407374, 19.8727083512), (45.2525866389, 19.8678103709), (45.2547734365, 19.8620128358), (45.2542765403, 19.8530960428), (45.2528535063, 19.8475593745), (45.2481301777, 19.8492059684), (45.2440216217, 19.8424535024), (45.2426706144, 19.8371533191), (45.241465683, 19.8317379566), (45.2399480828, 19.8258641034), (45.2436192236, 19.8250937953), (45.2487841683, 19.8247020319), (45.2488161894, 19.8177958089), (45.247517576, 19.8083415635), (45.2510355315, 19.8056491406), (45.2523770585, 19.8018919417), (45.2511237051, 19.7983862612), (45.2495765937, 19.7936823203), (45.2489224745, 19.791754249), (45.247888, 19.787416)]"
9B,"[(45.2360062995, 19.8878906109), (45.2396101516, 19.8853872807), (45.2439233024, 19.8814113961), (45.2464017138, 19.87968712), (45.2496755784, 19.8757045697), (45.251431704, 19.8732154355), (45.2526031657, 19.8689433116), (45.2548163902, 19.8623634945), (45.2542020579, 19.8519122087), (45.2524025428, 19.8471827488), (45.2474414598, 19.8488525074), (45.2437760634, 19.8407575757), (45.2425681438, 19.8359820245), (45.2413137447, 19.8302794061), (45.2403667659, 19.8253952094), (45.2442691715, 19.8252026974), (45.2494278377, 19.8238348508), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2482734052, 19.8075067499), (45.2515983077, 19.8053597388), (45.2529483166, 19.8031021067), (45.2513539058, 19.7983752275), (45.2500788277, 19.7947978105), (45.2489713023, 19.7915144259), (45.248251, 19.786933)]"
9AA,"[(45.247888, 19.787416), (45.2489224745, 19.791754249), (45.2495765937, 19.7936823203), (45.2511237051, 19.7983862612), (45.2523770585, 19.8018919417), (45.2510355315, 19.8056491406), (45.247517576, 19.8083415635), (45.2488161894, 19.8177958089), (45.2487841683, 19.8247020319), (45.2436192236, 19.8250937953), (45.2399480828, 19.8258641034), (45.241465683, 19.8317379566), (45.2426706144, 19.8371533191), (45.2440216217, 19.8424535024), (45.2481301777, 19.8492059684), (45.2528535063, 19.8475593745), (45.2542765403, 19.8530960428), (45.2547734365, 19.8620128358), (45.2525866389, 19.8678103709), (45.2516407374, 19.8727083512), (45.2488033781, 19.876524398), (45.2455157784, 19.8801002749), (45.2403483789, 19.8831881997), (45.2294522586, 19.8822505968), (45.22707, 19.870463)]"
9AB,"[(45.22707, 19.870463), (45.225647727, 19.8783438044), (45.2293188742, 19.8822880035), (45.2402949361, 19.8833365176), (45.2439233024, 19.8814113961), (45.2464017138, 19.87968712), (45.2496755784, 19.8757045697), (45.251431704, 19.8732154355), (45.2526031657, 19.8689433116), (45.2548163902, 19.8623634945), (45.2542020579, 19.8519122087), (45.2524025428, 19.8471827488), (45.2474414598, 19.8488525074), (45.2437760634, 19.8407575757), (45.2425681438, 19.8359820245), (45.2413137447, 19.8302794061), (45.2403667659, 19.8253952094), (45.2442691715, 19.8252026974), (45.2494278377, 19.8238348508), (45.2485623853, 19.815564749), (45.2478325873, 19.810052585), (45.2482734052, 19.8075067499), (45.2515983077, 19.8053597388), (45.2513539058, 19.7983752275), (45.2500788277, 19.7947978105), (45.2489713023, 19.7915144259), (45.248251, 19.786933)]"
10A,"[(45.2550293771, 19.8414070119), (45.2525198464, 19.8368000824), (45.255629856, 19.8351029309), (45.2613766166, 19.8318492939), (45.2640665923, 19.8291811843), (45.2640771252, 19.8231059398), (45.2644189465, 19.8177497604), (45.2689087832, 19.8239098396), (45.2789707304, 19.8236452555), (45.275115, 19.82365), (45.2722670532, 19.8214602068), (45.2740884561, 19.8139766836), (45.276429415, 19.8084575794), (45.278889, 19.806465)]"
10B,"[(45.278889, 19.806465), (45.278426388, 19.8072955438), (45.275420703, 19.8099757982), (45.2735286309, 19.8159097058), (45.2725323349, 19.8198678228), (45.2751825388, 19.8235636836), (45.2789707304, 19.8236452555), (45.271510041, 19.8236627755), (45.2679796459, 19.8235299233), (45.2636389127, 19.8174016008), (45.2637816804, 19.8246328903), (45.263325649, 19.8304838937), (45.2601777537, 19.8322222835), (45.2545506888, 19.8353175469), (45.2522080286, 19.8377609655), (45.2548499029, 19.8422463011)]"
11A,"[(45.2640665923, 19.8291811843), (45.2640771252, 19.8231059398), (45.2609008436, 19.8204896166), (45.2569093044, 19.8241177466), (45.2532878064, 19.8241868372), (45.2487841683, 19.8247020319), (45.2436192236, 19.8250937953), (45.2394232209, 19.8253580867), (45.2373436138, 19.8276347235), (45.2388659784, 19.833210388), (45.2403689153, 19.8384767147), (45.2417640206, 19.843435786), (45.2429842112, 19.847528317), (45.2481301777, 19.8492059684), (45.2514125025, 19.8515882207), (45.2521192996, 19.8546993561), (45.2576645565, 19.8548476045), (45.2617554805, 19.8537375388), (45.261569, 19.850373), (45.264153, 19.846968), (45.264563, 19.843454), (45.2652106325, 19.8364405487), (45.2650202834, 19.830132455)]"
11B,"[(45.264414954, 19.831181344), (45.2656954001, 19.8354809218), (45.264400104, 19.8447802173), (45.2635605256, 19.8502923003), (45.2614748508, 19.8507066908), (45.2608772309, 19.8557970812), (45.2575567077, 19.8546271049), (45.2549794279, 19.8549474588), (45.2516559504, 19.8520851559), (45.2474414598, 19.8488525074), (45.2424582038, 19.8467941518), (45.2414328005, 19.8415475397), (45.2400602044, 19.8370412179), (45.23861537, 19.8316359129), (45.2374119519, 19.8273963747), (45.2403667659, 19.8253952094), (45.2442691715, 19.8252026974), (45.2510679517, 19.8244972937), (45.2545639152, 19.8244393678), (45.260450059, 19.8213763649), (45.2630741789, 19.8192032513), (45.2637816804, 19.8246328903), (45.2650202834, 19.830132455)]"
12A,"[(45.2550293771, 19.8414070119), (45.253337, 19.844187), (45.2524025428, 19.8471827488), (45.2488034819, 19.8421576964), (45.2475207776, 19.8392619075), (45.2437760634, 19.8407575757), (45.2425681438, 19.8359820245), (45.2413137447, 19.8302794061), (45.2394232209, 19.8253580867), (45.2372217236, 19.8216097718), (45.2349410298, 19.8180658175), (45.234404245, 19.8139810465), (45.2350171332, 19.810173082), (45.236683, 19.808045), (45.237096, 19.806373)]"
12B,"[(45.237096, 19.806373), (45.2383549843, 19.8079954948), (45.2376452454, 19.810635893), (45.2349271049, 19.8100768788), (45.2343708896, 19.813750923), (45.2351605706, 19.8185888685), (45.2373825002, 19.8221918457), (45.2399480828, 19.8258641034), (45.241465683, 19.8317379566), (45.2426706144, 19.8371533191), (45.2444754031, 19.8412524923), (45.2480202534, 19.839720893), (45.2488624702, 19.8431913572), (45.2528535063, 19.8475593745), (45.253519, 19.844141), (45.2548499029, 19.8422463011), (45.2550293771, 19.8414070119)]"
13A,"[(45.2649285714, 19.8083164398), (45.2618134201, 19.8104375633), (45.259486, 19.808937), (45.255302, 19.811805), (45.252347, 19.813837), (45.2482616918, 19.8166067011), (45.2430591564, 19.8201818748), (45.2399480828, 19.8258641034), (45.241465683, 19.8317379566), (45.2426706144, 19.8371533191), (45.2440216217, 19.8424535024), (45.246804, 19.849049), (45.243749, 19.850994)]"
13B,"[(45.243749, 19.850994), (45.2429842112, 19.847528317), (45.2437760634, 19.8407575757), (45.2413137447, 19.8302794061), (45.239855, 19.82477), (45.240414, 19.822391), (45.2440148287, 19.8198292771), (45.249118, 19.816518), (45.253249, 19.813681), (45.256212, 19.811657), (45.2604662935, 19.8096845247), (45.2640112807, 19.8111852139), (45.265188, 19.808222)]"
